combined,sentiment
"very frustrating experience, terrible place",1
Please update your hours of operations.,3
"(Translated by Google) generally

(Original)
一般",3
"Just collected a cake ordered online through the main website. I understand if the cake came from HQ kitchen instead of the outlet but how the staff - a senior lady in particular, handled the situation today was downright disgusting. …",1
"Visited the store last week (wk of august 2). Still in the midst of heightened alert in Singapore. Hence no dine-in. Whilst deciding on my cake to purchase, another customer entered the store to place order for food. When I was done, I …",1
"Saw ""Burmese shan tofu"" in the menu & happily ordered. Turned out it was such a disappointment, totally unable to eat at all even as a Myanmar national. Literally a disgrace to burmese food. It is actually bean curd dressing in western style sauce, not even tofu.",1
"I came here for their signature carrot cake , but since its lunch time , decided to order the nake beef salad . The beef is so Juicy and soft . And it just bing comfort to my soul . I don’t know why their store rating is so low . But the …",4
The shop is located in the corner of level 2 open space area. I only ever bought the bread to go from this store. The bread is nice but a little bit pricey though.,4
"Ordered the black pepper crab and prawn pasta ($22). Prawns were really unfresh, mushy and falling apart - refer to pic. Disappointed as I've always liked the food at Cedele.",2
Their hearty breakfast never fails at anytime of the day. Grilled seabass is well grilled and the curry sauce matches the fish. Their ginger tea and cauliflower soup is a must try! A lot of healthy option meals are available. Free flow of sourdough bread available. Avoid lunch hours as the kitchen becomes very busy so the service lags.,5
"Nice vibe I suppose! But don’t get the overpriced mushroom soup, that was pretty disappointing, felt like it was from a can.
Spaghetti was cooked nicely, but tastes like off the shelf sauce.
The saving grace was the Quinoa Mushroom Rice dish. Tasty!",3
"Ordered my Christmas set for collection at 5pm-7pm but it was not ready for collection when I reached. When asked, staff just ignored and said that the delivery will be between 5pm-7pm. Waited with like 30 other people all. No response from …",1
"Cedele serves really quality food while they pride on healthy food, they are still able to whip out such yummy dishes !",5
Went to order a birthday cake today and was served by a very helpful lady staff at the counter (forgot to ask for her name). She was also helpful to the customer before me. Really appreciate her thoughtfulness and customer-oriented service.,5
"Food was good, staff wasn't too pleasant, requested for fully cooked eggs but wasn't allowed by cashier until another staff overheard and says it's okay to change to scrambled eggs. …",3
Generally decent food and service but quality of their bread has gone downhill over the years,3
"My family and I dined here last weekend and it turned out as one of the best family time. Ww were looking for a spot where we can comfortably leave our little pup for a while, while we have breakfast. We were glad to find a shed for our pup …",5
Ordered a chocolate matcha cake for my godson and realised that there was obvious baking defect (at the side of the cake) when the cake was taken out from the box. Feedback to the manager (Ian) few days later (with the photo sent to him). …,1
"Located on the 2nd floor of Greenwich, this is a bakery with a full lunch and dinner menu! The food is good especially the bread based dishes. Free flow of bread on a cutting board for soups. …",5
This place is good for healthy options and also has a wide variety of cakes and deserts. Very family friendly evironment and doesn't get too busy on weekends and peak time. Would recomend for people who are looking to eat clean and enjoy nice food at the same time...,4
"TL;DR - Premium prices for a hack job.

Worst experience among Cedele outlets I’ve been to. Understaffed, dirty wet …",1
"UPDATE ON NOV 2019: Cedele has brought back their star manager, Voon. Their service and outlet performance went downhill over the last 2 years with TERRIBLE  managers that killed their crew and customers. With Voon back, the entire staff …",1
"Food was alright but when we ordered the beetroot avocado burger, they forgot the avocado. When we asked for the avocado they gave us a measly slice. …",3
Been here a few times and I must say that their standard is always maintained at a good level. I came here specifically for their amazing Blueberry pancakes so it was a shame that they were out of stock this time :( …,5
Definitely not the nicest Cedele I've been to. The environment doesn't feel very clean. Staff were friendly but the food fell short of the usual Cedele standard. They also have a different menu compared to the other branches which might or …,3
"Bakery and cafe selling cakes, cookies, drinks and other snacks. Can be a bit pricy but a nice atmosphere for an informal meeting.",4
"Quality food , good service and  ambience. It was   weekday ..Cannot say if weekend crowd come..I  always.like this outlet only. Raffles.City was too noisy n space constraint. .Novena outlet too not ideal choice ...these 2   experiences were BEFORE COVID ..",3
"seabass salsa sandwich was not bad, salsa packed a quiet punch and fish was fresh! Price was slightly steep ($16++) and service was average but its not a bad spot for a healthy meal",4
"I dined at your restaurant this afternoon and bought cappuccino, lychee green tea and chiffon cake x 2 for close to $20. When I asked to join the membership for $25 in order to utilize the vouchers on the spot, I was told to do it online …",1
"Nice cosy place. Food is ok, find the pasta a bit too oily.",3
"Nice bread, coffees, cakes, teas n cafe food. Staff quite helpful but unfortunately the environment is poor due to the weak air conditioning- bakery/cafe feels like a sauna in the afternoons which spoils your meals- humidity n heat are high which technically means you might as well eat in a hawker center!!",3
Our most favourite branch for Cedele. Tried several branding under Cedele but this branch service was still the best. Our kids love their mushroom soup and they serve free flow of bread if you order soup. Their staff here are more friendly and attentive too. Our favourite cake was their walnut carrot cake and Matcha green tea cake.,5
Do not expect restaurant style services but food is ok. Just sharing a photo taken outside of Cedele on an Awesome evening.,3
The drinks are good. Had turmeric latte which is non caffeine. A bit too sweet though. Blue Berry tart is pretty good as well and doesn't break when cut. Quite sturdy,4
"Staff there had some issue with their POS system and hence ordering of food was taking awhile. Customer service was great, and upon chatting with them, realized the troubles they were dealing with, which contributed to the wait time. The staff there are friendly and hardworking. Food was served pretty fast.",4
Food was really good here although I felt that the milkshake was overpriced at $8,4
Used to like this outlet... recently food and service standard not so great. Ordered Portobello Super Grain and was shock at the reduced size of the Portobello (compared to what we used to get). Was told that the Central kitchen supplied …,3
"Kitchen closes earlier than the stipulated 20:30. So try and arrive before 8pm to avoid disappointment. Family personally stopped at the door by the manager, like the personal touch.",4
"Feels like everyone’s first day at work everytime i come here. The staff are pleasant but service is slow and they always seem clueless about whats going on and very chaotic when taking orders, causing a slow long q everytime im here. Food is alright. Location is perfect.",3
"We came here quite often as we stay nearby. This time, total dissappointment as I see no manager on duty and the service staffs were too busy doing online order (packing and fulfilling order). It was an obvious scene of short manpower and …",2
$27 for a very tiny piece of salmon and a few pieces of green beans. Mushroom soup tastes awful with more potato than mushrooms. It was extremely bland. Staff was impatient when we just ordered but had no qualms entertaining a couple for 15 …,1
The pasta tasted too greeny. Rissoto was good. Shake was tasty but can be thicker,3
Good healthy tasty food that has been curated very well. People are nice too and the restaurant is bright and spacious (some form of social distancing already designed from the start) …,4
"I feel quite sad that I’m leaving this unhappy review as this used to be one of my favourite places to come and eat. Recently, the service has become very slow, and we’ve also noticed that some dishes no longer taste as they used to, …",2
"I have 3 order at cedele today, i waited for 30 min and when i ask the staff, i was told to wait then when i inform them that the order is just a cake the staff ask me ""hushh"" seem lile asl me to keep quiet. Its so rude for the staff to …",1
"The crowd was moderate but the service staff attitude is terrible. I am here and sharing my views.
Though we ordered 1 kids meal, the staff repeatedly asked if our child was below …",2
Surprise! They still gives free breads with meals - used to be a hallmark of Cedele. …,5
Staff packed 5 slices of cakes instead of 6 and was rude when we alerted them of the mistake. …,1
"GrabMart: The store accepted orders on CNY eve even though it was closed. The driver went all the way to the restaurant which affected his earnings.
It is irresponsible of the store to not have updated their store hours and wasted everyone’s time (me, support team, driver).",1
"Ordered eggs benedict. The hollandaise sauce was quite plain tasting. Brioche bread had some parts charred on the underside, marring the experience with a bit of bitterness.",3
Food quality can be great one time and super low during peak periods like lunchtime. Pasta overcooked and wet was the worst. Kitchen is super inconsistent. Not sure if there is a change in staffing.  Used to prefer this branch every weekend …,2
Nice food good value. Staff are busy but everything is smoothly managed. Very comfortable setting for great meal and relaxation,4
"Love this outlet of cedele! The food is good, and the ambience is chill :) nice for afternoon tea or a family meal!",5
comfortable place for breakfast 🥞 👍  good and friendly service to …,4
"I want to like this spot for my healthy meals, but be warned about the service here for this branch. Sometimes I prefer takeaway to avoid the weird stares given. They also missed out my toppings for my salad without being apologetic about …",3
"Nice environment, healthy and tasty food options, and friendly staff!",5
"Cedele’s service has improved a lot in the last few months.  We quite enjoy the service and the prompt delivery. Their air conditioning is little glitchy, during the crowded weekends  it gets quite hot with poor air circulation …",4
"Terrible customer service!!

The story goes like this, walked in, the guy who serve me doesn’t even bother to …",1
"Food is disappointing, oily and not of a good quality product. This is not worth better than fast food in mac donald.",2
Yummy food. Price wise a bit steep but portion was large.,4
"3 staffs were at the counter but only one was working, trying to juggle with 3 jobs - cashiering, packing, cake cutting. Others were just loitering around or busy with their phones rather than helping the poor girl at the cashier. Visit only if you have a lot of time abs patience to spare.",2
Total matcha cake is great,5
So upset!!! Hair was found on the cake and the blessing birthday wishes wordings have been missed.,1
"Friendly service. Reasonable price. Quality food. Relatively cosy place for meals, and meeting family and friends",4
I can't put 0 star. Too bad. Food panda order still not delivered after 90minutes wait while order was expected in 30. Wait time keep increasing. Nobody in Cedele picking up the phone (as always with this Greenwich branch). Looks like …,1
Super love this outlet! V friendly staffs especially a senior lady staff. She is genuine in her approach to customer.. can see everyone loves her! Food is great! Healthy choices and good size.,5
be careful when redeeming kris+ vouchers here. I wanted to redeem 3 but they redeemed 4vouchers and refused to give me a 4th pastry despite being approached,2
Me and my family went to eat there today and there were some issues with the membership renewal. The staff there were very patient in helping out with this matter and ensured that me and my family had a great experience overall.,4
"Today, the service was 5/5 (a vast hike from the terrible service in the last 2.5 years). …",1
"Bland food, bland drinks, over priced....
Paid a $30 meal that had no taste and left without being able to stomache the full meal …",2
"my mushroom soup taste like pumpkin soup with slices of button mushroom in it. Asked the manager (with the white specs) about the soup and he was like ""they're all like that. It has always been like that."" I honestly think if you're paid to …",5
I think it is own preference. I like the environment to be spacious and easily accessible.  They do offer all day breakfast! Hearty Big Breakfast.. you can choose how you wan your egg to be.,4
"being a cedele member AND living in seletar hills estate area (so 2 min walk), it's my go-to place for meals. i like their sea bass, burger, salmon sandwich thins and the vegan burger options. salad is meh. for cakes: red velvet, carrot …",4
"Usual afternoon coffee and cafe break ,,,service at the counter was not very good,need improvement",3
"Its decent enough but not the most hygienic place. Had coffee and cake.
Saw the staff empty the coffee scoop in the small trash bin and re use it without washing it out with hot steam. …",3
Love the cakes here. Try!,5
"Gula Melaka cake is nice BUT it will be better if it’s a bit less sweet. And the cakes are pretty expensive. Used to buy birthday cakes from Cedele but no anymore because there are plenty more cheaper and nice options example, Cat and the Fiddle & Chateraise are among our new found love, even Awfully Choc’s cake also cheaper!",3
"They hang up the phone no matter what time you call and when you turn up and tell them the phone is perpetually busy, they offered the same excuse twice, that the battery on the phone is weak or that the call was during their busy time (3 …",1
Food is fine but be prepared to wait 30min for your food especially during weekday lunch.,4
Food is alright but customer service is abysmal. Elderly lady called Lucy is especially rude and should honestly not be in front of house with an attitude like that. …,2
Food is good and standard remains the same. The order taking staff (guy) is a real turn off. Customer service is bad and coming to this place to eat is like being treated like an army recruit in a cook house. Please improve!!!,3
Service is abysmal. Don't come here even if it's the last place with coffee in the neighborhood. Drink water instead.,1
"Poor service, staff attitude problem while serving hot coffee beside toddler when there is space to serve the other side. Pancakes served ugly, no plating and looks like a kid cooking",1
Sell bagels but not cream cheese - paid or otherwise. Had to ask for butter. Bagel was cold so asked for it to be heated up (had to ask twice) When served it as hardly warm and inside was still cold. All served with a BIG scowl.,3
Having some hot cross buns for Easter. The Pandan coconut hot cross buns are really tasty after toasting in the toaster Gill for 10mins. But it's rather pricy because they are plain buns with no fillings inside.,3
"Nice place to eat and hang out. Mains are good and healthy, averaging around S$15. Love the cakes and coffee. One of the cheapest places to have a glass of wine, as well.",4
"Love the soup. $8.80 for a soup + free flow bread is worth it. But if you are coming here for the main courses, they are a little overpriced.",4
I live around the area and I eat at Cedele a lot. The food is pretty good here but the service is atrocious. Staff are all very rude and unfriendly. Don’t think they actually understand what customer service is.,2
Good food and great burgers. Drinks not great though and it is un-necessarily expensive.,4
"We're always here for mushroom soup (free flow bread), pesto thins, burger or pesto pasta, and blueberry lassi. Great family eatery.",5
Healthier choice. Friendly staff.,4
Air conditioning is weak. Food is ok. But not a good place to hang out at because of the lack of air con. It’s basically a green house with no ventilation.,3
"Was crowded during lunch hour understandably, but having to wait over 45mins for my take out was a tad long",3
The cakes and coffee are good. Food too!,4
Good coffee but expensive place. Join member at $25 to enjoy 10% discount $30 welcome voucher,3
"My husband left his wallet there accidentally, and the staff were very helpful in keeping it for him before he discovered it missing and went back, and even were out in the mall looking for him to return it! Thanks very much to the staff!",5
"one of the best cedele branches with ample seating space and good staff. The quality of the food is awesome too, considering you are paying very reasonable prices.",5
"Customer service is extremely poor. Staff at this outlet are very rude,  and dont even know how to smile. I have been to this outlet several times and have never been greeted politely.",1
They have amazing walnut brownies. All time favorite place for brownies.,5
"favourite store, great food and service staff esp an aunty who has been working there for 6 years. peeps living in d vicinity pls support, show lots of it!",5
The service is rather poor. Curt staff that made me shift a smaller table beside me whilst I was eating because of “peak hour”. Yet the cafe was half filled at 6pm while i was eating (on the table of 4) and half filled when I left. …,2
Food is wayyyyyy overpriced! $11 for kids pasta and the portion is not even for kid who can eat slightly more. Staff are not friendly.,1
Love the curry pumpkin soup. You can enjoy your curry the healthy way. Free flow of bread with any soup ordered.,5
Wonderful and quite place to meet up,5
"Item ordered OOS, staff changed to another item without informing. Food was average and expensive. Staff wasn’t friendly.",1
Nice ambient.. friendly staff.. keeping table clean and tidy in order to welcome next group of diners..,4
Good selection of healthy food in a nice cafe environment. The ambiance is very nice and the staff are friendly,4
Love the cosy corner to indulge in Cedele good food or just a simple cake set to wind down for the day,4
"Found a fly in the salad, rlly ruined my dinner experience.",1
Best cedele branch. Free flow bread of great quality. Healthy food at affordable price,5
Good selection and I like the non caffeine drinks. And the place is nice and cool unlike the other cafe joint in the area.,4
"Healthy food, decent taste, very good ambience. Nice place for catching up with friends.",4
Love the carrot walnut cake.. nice place to have a meal,5
"Food is average and price is rather steep, counter staffs abit blur as well.",3
"Good food, nice cost little restaurant.",4
"Terrible butter and chocolate croissant still raw inside !
-Poor cappuccino
-poor customer service
Not coming back.",1
"Slow. Not other word can describe the service level. Oh yes, there are two words to describe: damn slow. Zzz.....",2
"Pretty quiet and serene, peaceful.",4
"Food not worthy of the price at all, standard dropped.",1
Love thr ciabatta bread and the not so busy atmosphere,5
Food order very slow.crew keep talking n using handphone,1
"Soup with unlimited bread to go with, overall the food that I eaten were tasty.",3
Organic and healthy food. Great breads. Quite pricey,5
Nice and cozy place. Good selection of food and desserts,4
Nice place for small meetups. Not too crowded and nice environment,4
Good range of food. All seems really creative and healthy!,5
I think it's ok.  The food is ok.  The ambient is ok.,3
Family friendly branch. Nice food served at this branch.,4
Nothing outstanding.. pricy okay food.. maybe the food is Instagram worthy,2
Nice ambience,4
"Food is great, cozy environment and good service",5
"Expensive food, poor customer service.",2
Good food. Love the Flat White coffee.,4
Love this dish,5
"Reasonable priced, fresh & wholesome menu.",4
Ordered burger but came with normal sandwich bread. Disappointment.,2
Cosy place for coffee,4
"Spacious, good service, nice bakery items.",5
Not worth the price and average service.,2
nice food and great atmosphere,5
The food taste so so and waiting is long,3
"Good quality food, try the imperial chicken.",5
very nice,5
Place is very warm despite the air conditioning.,3
The store manager is providing a good services,4
Excellent service and pleasure experience especially Susan is around. :),5
Good atmosphere,4
Eat healthy,5
Feels warm even it was during rainy days.,5
Great food and cosy ambience,5
Nice vibes nice food,4
good food under staffing.,4
Nice environment and food.,4
"Good food, good atmosphere",4
Nice and cozy place to relax.,4
Nice n peaceful place!,5
Excellent,5
Great food and team!,5
It's ok,3
Good for a lazy sunday coffee,4
Good food,4
Hip place for fusion food.,5
Poor experience with service staff,2
Food was delicious.,4
Friendly service!,5
organic food,4
awesome as usual,5
Decent food,4
Staff is rude.,2
Okay bakeries,3
Nice place,4
"(Translated by Google) passing by

(Original)
路过",5
1. French Fries cooked in old oil as you can see in the pictures they didn't clean the deep fryer this is not acceptable. This can be very dangerous for health! I can't eat that! …,1
"The place has been renovated and what a great improvement. It is also much cleaner and well maintained compared to how it used to be in the past. The place has great ambience, and keeps me and the kids coming back for more. We love coming …",5
"This is the size of a cake slice for which I paid $9.50. Usually there sizing is reasonable but what is this portion size, got it delivered by gran. Before also twice they sent small loaves of bread.",1
"Came here on a Tuesday afternoon for lunch, and the place was rather packed (almost fully seated!). Ordered the seabass with quinoa and the food was great. Seabass was fresh and the seasonings were nice. The only concern was the price (well, it's rather pricey, but you get a good fill for your tummy).",4
Poached eggs were so hard they looked like hard boiled eggs. Staff threw a fit and refused to redo them. And simply said all the eggs are the same. Staff names are Wati and Weiyan,1
Had Hearty Breakfast with the scrambled eggs option and ice Rooibos lemon tea after morning hiking. …,4
"Ordered their salad bowl and found bits of egg shells inside.

Another new week and ordered a salad bowl from them.  Chose a lemon wedge but got a lemon slice instead.",1
"Ordered the Grilled Shrimp Avocado Thin on Foodpanda. Imagine my horror when I opened the sandwich and found that they had used avocados which had turned BLACK. It’s my observation that standards have been declining over the years (poor service, messy operations, shrinking portions), but this is an absolute new low. :(",1
I was with a foreigner friend and he wanted to buy something from cedele bakery this morning. He bought $12 worth of bakeries and wanted to pay with a $50 note. The cashier told us she didn't have change for us and asked if we could pay …,1
Service staff wanting to close early and not serving coffee or lattes at 8pm. Folks are still having dinner and they are already clearing up. Suggest not to ever come here if you want coffee or lattes with your meal. Certainly not coffee friendly place after 8pm.,1
Standard has dropped recently. You should try their pasta… it’s very undercooked and stiff. Beef burger used to be nice but now it’s not so flavourful. It’s a pity. Used to be my fav place to dine.,2
"The ambience is good and their cakes are good. We loved the ondeh ondeh cake and the blueberry crumble is good also. The cakes are light and fragrant, perfect to satisfy your sweets cravings. Their tea is splendid and overall a good place to chill.",5
"Poor service. If the opening hour as shown on the shop door is 0800 hour on a Saturday, then the shop should be ready and open at 0800 hours. Seen the staff still doing the odd chores for the shop opening this morning. Lost a customer as Cedele appears to take the customers for granted and not a professional bakery.",1
"Within 4 months, the same size whole cakes went up in price at about 13%, I understand inflation to be at about 4.8%, hoping the quality would still be good. Recently dined in and the quality / quantity is not the same for increased overall …",2
"Covid-19 safety measures; We were waited for a table to place our order, 5 min waiting time is like eternity, 😅😂finally someone willing to leave after their mea …",4
"Location is nice. The staff and folks are super friendly. We ordered the eggs Benedict and French chocolate. The eggs Benedict while is Instagram worthy, it isn’t stomach worthy. Though I haven’t had a chance to try anything other than the …",4
March 2021: They just renovated and updated the menu. Prices went up 🤷🏻‍♀️ like their pasta …,5
"Brightly lit cafe in HillV2 mall with all the regular Cedele food, cake and drink offerings. During COVID-19, there is an online contactless ordering system. Food is well put together and feels healthy. Portions are reasonable for the price. A nice quiet place to have a meal or snack. Convenient parking in the mall.",4
"Not cheap at all, and the food was surprisingly normal. If I'm being super honest, I wouldn't really go again nor recommend this place to friends. And their service is also not excellent.",2
Nice place to grab some good strong coffees and breads ! They have a nice spread of breads and cakes. Love to go for breakfast and brunches � …,4
Cedele is a good place for the weekend brunches. A good variety from healthy food to the traditional ham& eggs for the westerners. Bread and cakes are made with high quality and ingredients we can trust. Price is affordable at this spacious …,4
"Havent dine in this outlet yet, however I took away food items here. Chocolate cake was good and less sinful but I felt was too healthy :’ the slice was huge for 1 too. Nevertheless, managed to finish it. …",3
"If you want to spoil your festivities or celebrations please go ahead. Food arrived 2.5hr late without any update, cold and damaged. Customer service was non-existent.",1
Visited at 8:30am and wanted to order their Make your Own Breakfast Sandwich. Saw the photo had vegetables and tomato for the sandwich but the actual sandwich has ZERO VEGETABLES. Don’t mislead your customers! What a disappointment!,1
The cafe is cozy and the food here is really delicious! Enjoyed eating here :),5
"haven't been here since before circuit breaker so wasn't sure about the standard. I was blown away by the mushroom beef burger, it still carries the signature cedele burger taste from when it was at rail mall. …",5
Service quality and food quality is quite poor. Staff on duty this morning is not friendly. Food took 15mins to arrive even though the place had little crowd. This outlet needs a quality check.,2
What an absolute rip off! THIS is their quinoa salad worth 16 SGD!! Literally two spoons of dry quinoa and 4 pieces of avocado. What a disgrace!,1
I am a frequent customer . Came for breakfast today with my sons. We ordered pancakes.Pancakes were tasteless. Scrambled eggs were runny and smelly. Imagine we paid 17 bucks per plate for this! To add to this the lady at the counter taking …,1
"Friend ordered dinner from Cedele HillV2 yesterday: Sea Bass and Prawn with Quinoa, Wild Mushroom Soup, Caesar Salad and a Sourdough loaf.. Some concerns to highlight: Sea Bass tastes or appears to be Batang/Mackerel.. we know as we cook …",4
Great place for brunch.Quality of food ! It is really good.,5
"Spacious seating, healthy menu list and a good selection of cakes. Matcha choc n yuzu cheese is good.",4
Usually enjoy this cafe for coffee however the last time I went the coffee was badly burnt and tasted horribly bitter. Went back to ask to remake because their coffee is not cheap. Same result. Couldn't be bothered asking them to make …,2
"Had oat latte and was quite good. However, I fail to understand how in today's world, any chain doesn't cater to plant based eating. They used to have a decent menu of plant based sandwiches, but now have zero! The only thing a vegan can …",2
Ordered the curry sea bass while the sauce was flavourful it was extremely overpriced at $20 for an extremely small piece of fish. Half the size of what's shown on menu. Thumbs down.,1
This place is good for a coffee session after lunch in the same mall. The ambience is bright and clean. The iced latte is quite good and not diluted like some other places. The service can be slightly improved as the crew brought our order …,4
"Brought 2 slides of double chocolate cake. Thank, Vicky to give me the cake base and a proper box. Best prank for the birthday boy.",5
"One of the most insensitive customer service. We waited for a seat, took time to decide what to order, queue up, THEN only to be informed at the cashier that waiting time for food is 1 hour and that If we don't mind, we can order some cakes …",1
"Did not know the sea bass with curried vegetables came with brown rice. It was a pleasant surprise. Curry was good & spicy. The cajun sweet potato fries was a delight. Iced or warm water is served without any extra charges. Fantastic! Plus, ordering & paying went smoothly just by scanning the QR code. A+ service!",5
"Received a Grab delivery gift for the seabass pasta and it was surprisingly delicious and healthy. Flat white (unsweetened) serves my caffeine needs well too, will be back for more.",5
"Food was quite expensive. Too fancy for me. Healthy. Lot of different options, and drinks.",3
Quiet location. Went to have a slice of cheesecake half an hour before closing. Everyone was busy cleaning up and counting cash. Totally understandable. Slice of cheesecake pretty small for the price paid though. They do have bread and pastries to purchase though. Shall come again another day.,4
"Our regular breakfast haunt every month.

Had a long wait ~40mins for the food using the app while seated at the table …",4
Beautifully crafted wrap and warmth ambience to hang out with friends.,5
$22 order comes in this quality when order via foodpanda. Miso minced beef mushroom brownrice. Unbelievable,5
"Very tasty, healthy menu. Would highly recommend for a light bite or coffee.",4
"Great food, friendly staffs and good service.",5
"Was planning to come here for a quick lunch, but it turned out to be a rather unpleasant experience. …",2
"I went to collect some cookie during COVID phase 2, I walk in and all staff didn’t bother to take my temperature and offer their service.  The item I order online was out of stock they replace my tea cookie with peanut cookie. my recipient …",1
"very super overpriced. food is pretentious. place is small, dirty and noisy. too many students studying at peak hour. possibly one of the worst cafe i have ever been to. too many online orders (foodpanda, deliveroo and grabfood) as such the …",1
"Great range of natural/whole foods ranging from pastas to interesting vegetarian options, breakfasts, coffees and fresh juices.  The bakery options are very nice and we frequently get their big bowls of soup to eat in or take home.  If you …",5
"2 stars for the lack of cleanliness in this outlet. We are there regularly and most of the time, the floor is littered with scraps of leftover food or tissue, even the seats had food crumbs on it. Can the management do something about the …",2
"Liked it for its ambience, location and good enough food. Coffee and tea are ok. If Just for caffeine kick, its fine but not really good enough as cafe coffee. I'm a picky coffee guy. …",3
Love their bakery and neighborhood's lively vibe here. But there is a need of staff training for sure. Every time I saw unpleasant customers because of the abrupt staffs. I also do not feel welcoming from the staffs all the times.,3
Very very bad serving size. We ordered for smoked salmon salad and seabass in curried veggies. But looked like they had only leftovers to give as fish. Just a small meagre piece. Very disappointed with cedele. We will never order again.,1
"Blueberry tart with tasteless blueberries, dough not crunchy at all, orange ginger drink watery, only cappuccino is good and way better than Starbucks (ok, not a very high bar)",3
"Nice, quiet place. Food is good as usual. Service is a bit slow but courteous.",4
Came for breakfast today 25th Aug 2021 at 930am. The cashier taking my order is very unfriendly and I have to repeat my orders twice and even though I repeated twice she stills get my order wrong.,1
"This used to be one of our favorite stops as a family but over the years, it’s gotten really run down. My daughter and I planned a special morning out to play games and have a treat the other week. We walked in at opening and walked right …",2
"Seriously need staff training or reorganizing of the operations. There’s only one cashier who needs to do everything — taking orders for dine-in and take-away customers, preparing the cutlery and tray and number, telling the other staff to …",2
"Excellent, clean finish to the place, good variety of snacks, food and drinks. Service pretty good. Easy location under cover with lots of other things there too",5
"Placed an order online for pick-up and staff were helpful when I called to confirm my order. But when I went to collect it, my order request was not followed: I specifically asked for my bread to be sliced but it was given whole.",1
"This enterprise is a typical example for why dining in Singapore is so so boring. Once they come up with a good and successful product, they stop developing its quality and solely focus on quantity aka opening more and more outlets. I used …",1
Very dissapointed with the staff. We wanted to order dinner but our small 10 yr old kid wanted to eat a leftover pizza that he bought from another stall. The staff didnt allow him to eat it. Thats Eventhough the rest of the adults told them …,2
Open kitchen plus poor ventilation. Had a fresh set of clothes. Went in for afternoon bite. Came out smelling oily all over. Rather bad.,2
"been a cedele member for as long as i can remember, it's my go-to place for meals. i like their sea bass, burger, salmon sandwich thins and the vegan burger options. salad is meh. for cakes: red velvet, carrot walnut and matcha chocolate …",4
Food is good as always. Healthy and delish!,5
"Breakfast menu limited and very much Over Priced, Lunch not any better, Coffee is over priced, No WiFi and the Sofa seats old deteriorated and stained. This place is a real disappointment compared to other Cedele outlets.",2
This Cedele in HillV2 is my favourite! Healthy food & bakery!,5
"My lunch was served COLD. The rice was cold! And I told the staff that I will PICK UP my dapao after eating my lunch. So after my lunch, the staff said they will start cooking now! Terrible service!",1
Ordered sea bass curry sauce was extremely small tiny piece of fish. Not even half a size from the what we saw in the menu. The broccoli with rotten didn’t clean properly. Need more improvement @ 2 HillV Cedele.,2
