combined,sentiment
Food order very slow.crew keep talking n using handphone,1
1. French Fries cooked in old oil as you can see in the pictures they didn't clean the deep fryer this is not acceptable. This can be very dangerous for health! I can't eat that! …,1
"This is the size of a cake slice for which I paid $9.50. Usually there sizing is reasonable but what is this portion size, got it delivered by gran. Before also twice they sent small loaves of bread.",1
Poached eggs were so hard they looked like hard boiled eggs. Staff threw a fit and refused to redo them. And simply said all the eggs are the same. Staff names are Wati and Weiyan,1
"Ordered their salad bowl and found bits of egg shells inside.

Another new week and ordered a salad bowl from them.  Chose a lemon wedge but got a lemon slice instead.",1
"Ordered the Grilled Shrimp Avocado Thin on Foodpanda. Imagine my horror when I opened the sandwich and found that they had used avocados which had turned BLACK. It’s my observation that standards have been declining over the years (poor service, messy operations, shrinking portions), but this is an absolute new low. :(",1
I was with a foreigner friend and he wanted to buy something from cedele bakery this morning. He bought $12 worth of bakeries and wanted to pay with a $50 note. The cashier told us she didn't have change for us and asked if we could pay …,1
Service staff wanting to close early and not serving coffee or lattes at 8pm. Folks are still having dinner and they are already clearing up. Suggest not to ever come here if you want coffee or lattes with your meal. Certainly not coffee friendly place after 8pm.,1
"Poor service. If the opening hour as shown on the shop door is 0800 hour on a Saturday, then the shop should be ready and open at 0800 hours. Seen the staff still doing the odd chores for the shop opening this morning. Lost a customer as Cedele appears to take the customers for granted and not a professional bakery.",1
"If you want to spoil your festivities or celebrations please go ahead. Food arrived 2.5hr late without any update, cold and damaged. Customer service was non-existent.",1
Visited at 8:30am and wanted to order their Make your Own Breakfast Sandwich. Saw the photo had vegetables and tomato for the sandwich but the actual sandwich has ZERO VEGETABLES. Don’t mislead your customers! What a disappointment!,1
What an absolute rip off! THIS is their quinoa salad worth 16 SGD!! Literally two spoons of dry quinoa and 4 pieces of avocado. What a disgrace!,1
I am a frequent customer . Came for breakfast today with my sons. We ordered pancakes.Pancakes were tasteless. Scrambled eggs were runny and smelly. Imagine we paid 17 bucks per plate for this! To add to this the lady at the counter taking …,1
Ordered the curry sea bass while the sauce was flavourful it was extremely overpriced at $20 for an extremely small piece of fish. Half the size of what's shown on menu. Thumbs down.,1
"One of the most insensitive customer service. We waited for a seat, took time to decide what to order, queue up, THEN only to be informed at the cashier that waiting time for food is 1 hour and that If we don't mind, we can order some cakes …",1
"I went to collect some cookie during COVID phase 2, I walk in and all staff didn’t bother to take my temperature and offer their service.  The item I order online was out of stock they replace my tea cookie with peanut cookie. my recipient …",1
"very super overpriced. food is pretentious. place is small, dirty and noisy. too many students studying at peak hour. possibly one of the worst cafe i have ever been to. too many online orders (foodpanda, deliveroo and grabfood) as such the …",1
Very very bad serving size. We ordered for smoked salmon salad and seabass in curried veggies. But looked like they had only leftovers to give as fish. Just a small meagre piece. Very disappointed with cedele. We will never order again.,1
Came for breakfast today 25th Aug 2021 at 930am. The cashier taking my order is very unfriendly and I have to repeat my orders twice and even though I repeated twice she stills get my order wrong.,1
"Placed an order online for pick-up and staff were helpful when I called to confirm my order. But when I went to collect it, my order request was not followed: I specifically asked for my bread to be sliced but it was given whole.",1
"This enterprise is a typical example for why dining in Singapore is so so boring. Once they come up with a good and successful product, they stop developing its quality and solely focus on quantity aka opening more and more outlets. I used …",1
"My lunch was served COLD. The rice was cold! And I told the staff that I will PICK UP my dapao after eating my lunch. So after my lunch, the staff said they will start cooking now! Terrible service!",1
"9 tables of 4 with only 2 people at the tables with people waiting for tables ! Very inefficient. Whoever is supposed to be managing this place is not maximising seating capacity at all, very poor mgt.",1
"They give wrong information to people by labelling sandwiches as “plant based” on their menu, the breads they serve the sandwich include eggs/dairy. Disappointing!",1
"Messy noisy, not even checking temperature of customers. Where’s the safety and customer service. Try at your own risk and frustration.",1
Air con not working. Very stuffy. Staff did not open door to ventilate. Not the first time with such issue.,1
Staff is SLOW and unaware of the menu. Place is untidy. Sad.,1
The worst service level i have experienced in my life.,1
Very poor and disorganised customer service.,1
"very slow, lousy service",1
not worth the money,1
Worst burger ever,1
Unpretentious food,1
"Disappointed after visiting this Cedele branch. My main issue is the main course I ordered. The pancake was not well made and a miserable two slices of bacon. I ordered the curried pumpkin but probably not my palate. The only reason I gave a one star is the organic coffee and chamomile tea, which are similar to other outlets.",1
Having a high tea set. As the wrap was rather huge for a bite size (as refer to pic) n was just Given only a fork.. So I went to take some utensils - knife.. But was question for what I'm having that require a knife.. Is this a joke? Lol.. …,1
"Very poor service. Ordered and waited for about half an hour and there were no other customers. When i got up to ask about the order, only then I was informed that an ingredient was unavailable and was told to choose other options. The fact that they did not inform me after 30 mins and that I had to check with them is unacceptable.",1
No one queuing and I only ordered 2 drinks and a scone. Took so long to prepare. The delectable set meal poster on the wall also did not state that its only valid on weekdays. Ordered a scone and no butter or jam given. Was told that I need …,1
"I was at the Cedele outlet at Waterway Point on 17 March 2022 at 2:40pm. I ordered a Latte, Strawberry tart and a strawberry yuzu cake. Prior to this, I was standing at the counter for about a minute or so and no one came to take my order. …",1
"Ordered a Beef Sandwich/Burger?($16.50) with a latte(+$2.90).
Latte was trash. Milk was scalded, it was hot as hell and burnt my mouth. It was very bitter as well. Go downstairs to McDonalds for a good Latte, it's cheaper …",1
"Ordered Toss and Turn for pickup on Foodpanda. Thought new store. Couldn't find it after wondering for twenty minutes. Finally went to mall helpdesk and was told Toss and Turn is actually Cedele! There was no sign, and couldn't find the …",1
Drinks are great but the food are poorly made. Waited for an hour and what I get is half cooked spaghetti. Total disappointment.,1
Terrible experience here. The staff were very rude and this aunty staff started scolding my colleague for not buying a drink although the rest of us had bought drinks and cake. Kept coming over and harassing us (with our client) about an …,1
"There was a man on his hp occupying a whole table without ordering anything for 15 minutes that I was standing there. When I asked an older worker for a table and pointed out the man seated without ordering, he rudely replied ""Don't tell me …",1
"Visited this place at 20 Mar 2022, around 1pm.
A group of us ordered cakes and coffees. …",1
"The store opens at 10am as stated on Google, the auntie “Lucy” told me she can’t serve me until 10:30am as they still have some shelving to do. After I asked her “on Google it shows open at 10am”, the auntie said “yes we can anyhow change the opening hours one”. Used to be a fan of Cedele, Will not visit again.",1
"Dined in here on November 4th, they only allow diner to sit facing opposite each other, it’s so weird, all the table are already at least 1m apart, yet they don’t allow the diner to sit side by side each other, every other restaurant allows …",1
"Does not accept cash payment. Zero waitress, everything self service. Price is same like Starbucks.",1
"Expensive. Poor service. It is self-service. If you go alone, better put a bag to reserve your seat, else you may not have a sit after you buy your items.",1
"Very strict no laptop (even tablet) policy in store and rude attitude by staff. For people looking for a place to chill and get some work done, go to Starbucks instead, there’s also free wifi there.",1
It was my first visit to this outlet with friends yesterday and it was truly disappointing. I had to apologise to my friends for choosing to eat there. The table was filthy and smelt like a dirty rag. Didn't even dare to ask the staff to …,1
Horrendous service! Waited for almost 50 mins to be served omelette for breakfast when cafe was not fully occupied. Communication breakdown between cashier taking orders and kitchen staff led to chefs going table to table asking customers …,1
"I just had the worst ever breakfast at Cedele Waterway Point. We ordered 4 Full Works. Our overeasy eggs were way overcooked. The bread was burnt and hard like stones.1 cappuccino, 2 flat whites and 1 latte was awful. Mushroom soup was …",1
Went there for a coffee break w my daddy,1
Ordered a flat white ($5.50) and mocha ($6) to-go. The coffee taste was so light that it felt like drinking warm milk rather than coffee. Totally disappointed. Never again...,1
"Food quality is bad. Order prawn and avocado thins. Prawns are all burnt and chef still wrap them in. Really cannot recommend this branch. Sorry. Really need a better food quality. Compared to Greenwich branch, this is really subpar.",1
"For birthday month, I was told by the staff, Brenda that I can't use my credits to pay for my meals.
What's the logic? …",1
"Terrible experience at the cashier counter . The people at the service industry should do service with a smile , there was none by 3 people at the counter to start with. Moreover they got they got the order wrong, placed the wrong order in …",1
Pasta wasn’t nice at all. Pasta noodle was stale and hard. For $20 it certainly wasn’t what i expected. Cake placed in the take away box ended up looking smashed. Disappointed to say the least especially with such an expensive price tag,1
This outlet has one particular staff who has a weird attitude everytime we visited this place. She is very unfriendly and rude. We have spotted her cutting corners too and once she was seen eating at the back of the cashier counter... …,1
"We were the first customer here today and we were welcomed by a half dead staff , absolutely lack lustre in their attitude, it felt like they were being tortured for being there. There were no smiles , and no interest to engage with the …",1
"A waiter was really unhelpful when i couldnt get salt and pepper at the common shelf. When i asked him for help, he just said he would get me if there's any on the shelf. There were bottles of salt and pepper on other tables. Have half a …",1
"Atrocious customer service, asked for a macchiato got served strong caffeine in expresso shot cups. Moreover when I complained the incapable barista had the audacity to question me, the customer, to define what a macchiato is. Utterly …",1
lousy coffee made. Ordered cappuccino what I received yucky coffee and milk .. no training given to the staff? When you charging $4.50 a cup?,1
Annoying guy Anthony serving at their counter. I wish there was an option to choose quarter star instead of one full star,1
"The main reason I used to order delivery from cedele was because of the chocolate banana espresso cake but they have taken it off the delivery menu so I stopped ordering. Cedele, is there anyway to bring it back?",1
There are flies flying all over the bread area. Looks really unhygienic.,1
"Went on a Sunday, waited 1hr but the food hasn't been served. Super slow service, don't come.",1
Not very helpful and service was so bad in Waterway Point. Food received was just so horrible. Speechless.,1
Paid $15 for pancakes but they wouldn’t give me butter on the side??,1
Don't like the staff at this outlet. Unfriendly and don't seem motivated to work.,1
standard drop. THE CHOCOLATE BANANA CAKE is dry and tasteless.,1
There's nothing here that's brings a customer back.,1
"Getting there. Is a killer, the carpark is not car friendly",1
Their pasta really taste horrible.,1
Slow and bad service,1
"They have the best coffee in Singapore, and also the worst coffee in Singapore - it just depends which day you go. They are terribly inconsistent. For example, some days an iced latte means espresso pourer over ice and fresh milk (as it is …",1
"Booked a cake in advance and went to collect it at the appointed day on 9 August 10.30am. Took half an hour just to pick up a cake! Service is terrible- staff took their own sweet time to look for it and put icing on it, ignoring the long queue of people just waiting to be served.",1
"Order one All in big breakfast from Grab, the portion is extremely small and the tomato didn’t cut and clean properly, surprising that a cafe don’t know how to serve tomato properly pay$20 for it feel very disappointed.",1
"Beware their severe price hikes, not to mention they were already expensive to begin with. You get No value whatsoever here. Horrible coffee. Horrible service and all rude unbothered staff, especially Elise. Cold and dry attitudes and food. …",1
"While the food is good, the service is way below the other stores. The older lady behind the counter is extremely rude and speak in a patronizing manner. I believe her name is Susan. Also, please bring your own utensils as according to her they no longer provide any. What a way to surprise your customers.",1
"Very bad service. Rude staff.

Self service for some people but serve others at their table. Blatantly obvious that there is preferential treatment. What is the policy ??",1
"i been Cedele at frankel for years .It was till today i was really dissaponted.
I order a egg n bacon toast .I saw a young man with a flowery shirt  cooking the scramble eggs without wearing any glove .He uses his bare hand to pick up the …",1
"One of the worst Cedele branches. Staff are unprofessional, food portion is small and very average tasting, coffee is bad.
Only reason to visit is to get bread/cakes which are prepared in a central kitchen.",1
Called 69229716 to enquire on online ordering of cakes. Lady who picked up lacked basic courtesy and training.  Zero empathy and interest to entertain genuine enquiry. Kept referring me to go online and didn’t bother to listen. Such a pity …,1
"Order one All in big breakfast from Grab, the portion is extremely small and the tomato didn’t cut and clean properly, pay$20 for it very disappointed.",1
"Will not return. Staff wasn’t friendly at all.
Ordered all day breakfast and they gave ridiculous little amount of greens.",1
Very poor service! Possibly the worst Cedele in Singapore,1
Staff is super rude. Not interested in serving any customers despite the stall is pretty empty. …,1
"Came here to get a coffee. Ordered a cappuccino with soy which was $6.50 and the drink was such a disappointment. it had a strange after taste and could not taste the soy milk at all. Do not reccommend getting the coffee here. Similar to other reviews, the staff's attitude was not the best, very emotionless and curt.",1
The salad leaves was soaked in water that my dressing became diluted. The whole DYO bowl of vegetable and protein were really soggy. (Imagine watery mayo tuna and floating chickpeas) . …,1
It was a major mistake coming to this cafe. I hate to leave a bad review but the coffee was incredibly bad and the unenthusiastic lady behind the counter doesn't improve the situation. I ordered a Cappuccino and it had close to zero …,1
"How can service staff be so untrained?  I love the cakes by Cedele but iced coffee here is just taste like water. Staff just do their work, no smiles, no emotions and even no eye contact when taking orders. We also experienced days when staff simply ignore us.",1
"Ordered a rye sourdough online for self collection, when my hubby was there, the staff told him they'd omitted (or overlooked) the order, either take other available bread/refund/collect the next day!? Wasted trip & disappointed as we were waiting it for dinner.� …",1
"Today, we at Cedele at City Sq. Very disappointed with the service.  When we ask for menu, she just asked to go look at menu the entrance.
Staff unfriendly and unhelpful. …",1
"The staffs here are very bad. Tried to order cheesecake and they have Yuzu and Caramel, but the label was folded made me cannot see full label. The staffs never cared and gave attitude. They shall make sure the full label can be viewed by …",1
Ordered beef meatball bolognese but the meat in the dish appeared to be a meat patty cut in half instead of proper meatballs. Raised inquiry in instagram yet no resolution/explanation was given. Not recommended,1
"Their Chai Latte is rly bad, do not order 🥺 took a sip and regretted instantly. The first layer is full of the spices bit …",1
"Today, I had invited a friend for lunch and was keen to also show Cedele as a partner of Krispay. It is a feature of Krispay to get Krisflyer points even if we pay using the credit cards (as stated in the app). The manager says no. The app …",1
"Awful service, totally disorganized staff. Half the menu unavailable. I love Cedele but I'll never visit this branch again.",1
The menu look very miserable.,1
"One to avoid. Undrinkable espresso, had to take it back.",1
.. $16.00 ..,1
Used to be a regular at cedeles. Stopped going after some terrible customer service. Had problems with my membership points crediting and they literally took about 7 months to reply to my email. Decided to give it a shot again after a long …,1
"What a let down!!! Always enjoyed Cedele sandwiches at other outlets. First time having them at Great World last night. This was supposed to be a Smoked Salmon Avocado sandwich. Not only was it without the avocado, it was the most …",1
"This is by far the worst Cedele outlet I’ve been to. The service is non-existent. After I ordered, maybe 5 mins later, I asked whether we could change it to truffle fries. The cashier staff straight faced replied, “no, cooking already” …",1
16 June 2022 - visited with 3 friends. Food was so so. Got confused by the online order because someone else had scanned the table qr code and added a latte to the table order before we arrived. …,1
"Very disappointing experience. Firstly, the labelling on the menu was off - “Avo on Toast” was labelled as “vegan” but I was informed that it comes with 2 poached eggs. Then, the request to substitute the 2 eggs with sautéed mushrooms was …",1
"Terrible service, the staff did not event look at you when you want to order. The food is expensive- a seafood pasta for $26 that only had 2 mussels and 3 prawns- but had 4 prawn head which one does not really eat. …",1
Honestly what an extremely disappointing experience. Firstly the service was terrible really rude and unwelcoming. We sat down at the table and was rushed into ordering our food and drinks. We thought that’s all that could go wrong but when …,1
"My family and I decided to hope to Cedele GWC since we have not visited for a while. We ordered a burger, a salad, pesto chicken thins and a bolognese pasta. They were short handed and customers are requested to queue at the counter to …",1
I went for a quick dinner with my husband before our movie on Thurs.  I ordered a seabass and prawn salad and I must say this is the worst quality that I have experienced compared to many other Cedele outlets that I have patronised!! This …,1
Ordered a latte from a lady and legit it didn't come for more than 15 minutes when other people's drinks came first and they came later or ordered later. That lady even ended her shift! …,1
Invisible customer service. Why bother paying for GST when you have a ghost team. Might as well accelerate your digital transformation or get ready to be disrupted.,1
I always dine at Cedel wheellick place.This branch has really lousy service.First was asked to make our own order when orders was taken by waitress at other table.Drinks was served wuthout stirrer and full of ice.Drinks was overlooked until we asked for it.Food was lousy and not worth paying for.Will never dine here again.,1
"Worst experience ever. Ordered the omelette, waited 30 mins nothing comes out. I look over at the counter and see it sitting there. 10mins later still nothing despite 4 staff walking ard doing nothing. Finally the old aunty brings it over …",1
"The staff are incredibly rude. There are only two waiters, and both of them are entirely unprofessional. When I arrived in the restaurant, I waited for 5 minutes to be seated, but the waitress completely ignored me. The two waitresses would …",1
That antie attitude so bad � …,1
Update: they asked me for my feedback in detail via email but gave me a template response after 😂 🤷🏻 …,1
Extremely disappointing service and food quality. The “chef” obviously skipped class when they were conducting the lesson on basic food seasoning. Everything is tasteless. …,1
"Never going here again.
Service was woeful, it took 45 minutes for our order to come out, which then came out cold. The coffees we ordered came out wrong and to top it off, when trying to pay, we had to wait 10 minutes for someone to take our money!",1
Pre ordered a cake for a birthday on Grab. It never arrived and no one from the outlet was contactable,1
"Despite being empty, the service was poor. Served our food without utensils and rushed us to make an order.",1
"Very poor customer service!  The counter girl has very bad attitude towards customers, ignoring who was next in the queue, showing a face & rude behaviour when told instead of apologising.  Happened at 1.30 pm on 19 Mar. Cedele please check on your staff.",1
"Dear owner, please retrain your service team or perhaps don't even waste your time on them and hire a new team all together. Finger snapping, screaming across tables and bullying customers is highly unacceptable.",1
Don't come here for service. Not enough staff and as such the ones who are here seem fairly miserable. …,1
"Bad experience.  They got my order wrong twice , and had to wait 30mins in line to pay . Aircon is also extremely strong .",1
"Worst Cedele out of all the Cedele outlets, no good sandwiches or wraps, horrible service",1
"Cold fries, tasteless food and mouldy salads served....never coming back here again, period",1
Terrible on Sun. Only 2 staffs. 1 making coffee the other doing the rest...,1
"Terrible service. Need to ask. At least couple times for almost everything. From the manager to service staffs, no one seem to care.",1
"Very bad experience, rude staff",1
The worst service. Ever.,1
"Expect nonchalant service, or non responsive staff.
Very poor etiquette, zero service standards",1
"Only 3 people in front of me, waited for 10+ mins for a simple basil pesto chicken thin wrap.....can't imagine what would happen if it's crowded",1
"Ordered the gula melaka cake today, the whole cake was so hard and terrible, felt like it was leftovers from a few days ago. Definitely not made fresh daily like the store said. Maximum regrets for spending $33 on this rock",1
"Worst service ever! Please go to Starbucks, don't waste time here.",1
"Super rude customer care. I ask if they have any matcha cake left, don't even bother looking at me to tell me simply ""no more"". Thank you, that's great customer service, don't try to sell me anything else, I might end up purchasing …",1
"This is the first review I'm doing because this outlet sucks. I ordered the packaged sandwich, waiting for my free soup. The staff said..wanted free soup to colleague in a demeaning way, n proceeded to bill me without the soup...like waiting for me to request for it. No thank u n I regret signing up for Ur membership",1
"A colleague of mine visited the store every morning for her breakfast. Today, was the worst service she received. She placed her item at the counter, two ladies, made eye contact and ignored her. She nicely commented that she would like to …",1
"The 2 scones for my child were burnt after warming by the staff and they still served them to me. Very dishonest, I had to reason with them and pointed to the burnt scones in order to get teh staff to change new ones for me. With so many terrible review about this outlet, it is really damaging to the brand name.",1
"I visited and purchased a couple times here already, and my conclusion for the service staff here is ranging between ""Unfriendly"" to ""Hostile"", and I meant for both of them. In my last visit, I picked up what I wanted and waited to pay. One …",1
"Incredibly rude staff today. There was no sign for some of the items in the pastry shelve so I waved to ask the lady at the counter. Instead of coming over, she YELLED across from the sink, “Just take it yourself!” When I said I’d like to …",1
Avoid bacon egg sandwich since it’s hard as rock and way too salty.,1
"We went on a weekday around 3pm, waited about 10-15mins to be seated. I was asked to wait for another customer to leave. The place wasnt crowded, and I noticed a few empty tables with reserve sign with no one sitting (even after we left). …",1
"Made a reservation for a Thursday afternoon high tea.
Service was below par. Tea was brought without sugar and milk. We had to ask for sugar and milk. The wait staff came with 1 sachet of sugar and some milk for 1 …",1
WhatsApp was as good as useless. No one replies to it. Tried calling and no one answered too. …,1
"Instead of the usual brunch..my girlfriend and I decided to have high tea.

Goggled and came across Cedele offering a set for 2 pax at about $58++  - …",1
"Fat Chinese waitress on her second day of service offended 3 tables at one go. Got scolded by one table, then came to mine, called me fat, decided to teach me life lessons after flat-out in my face refusing to take my order and deciding to …",1
Not much place for coffee this area. And coffee and cake taste okY. But just Awful service. Staff is rude and keep giving us pressure to leave.,1
"5 mins wait with no service staff members bothered to serve us. If they had meet the expected quota of diners, should at least have the decency to inform customers waiting in the queue. Staff saw us but ignored us totally. We went to …",1
"The management of Cedele shall really look into this outlet. Despite of the very low scoring, the service has not improved at all in past 6 months. Went for lunch on 12pm yesterday. After placed the order was told the waiting time is 35mins …",1
"Vietnamese waitress said there were no tables and waiting time was 30mins. We immediately flag out the empty table and she reluctantly showed us to the table. Service was bad, dirty tables, and long waiting time.",1
"V rude Filipino female staff Diane, argued and stared at customers. It was cny and a sun. However it wasn't crazily full. We were waiting in line for abt 10mins and there's a empty table right infront of us but nobody paid any attention to …",1
"We were there last night between 8 to 820, there was no indication that they are closed for an hour, reason given was kitchen was busy and restaurant was not even full house. That was the 1st time we heard. We were not to shown to our …",1
arrived on Saturday 3pm with just 3 tables in front of us. Imagine our surprise when we were seated only 50 minutes later to find out that the high tea set has run out! Most of the tables there were having the high tea set so the staff …,1
"The restaurant is obviously short-handed. We were told that there were no truffle fries or any drinks except coffee or tea. This was 7.30-8.00pm. Orders took a long time. We waited for 30 mins, checked with waiter and found out that food …",1
"A Confused Tart

Served a cold “apple crumble warm tart” and explained that the dessert can be …",1
"Been waiting for the past 25mins after ordering and the food has not arrived.
All 4 cups served for tea were dirty and they served it without any sugar or stirrer. …",1
"Wanted to reserve seats. Called them 3 straight days and no one pick up?
6688 7345 is this your number?
Well thanks for not picking up.",1
Poor service (had to request for condiments several times before finally getting it + was overcharged) and food quality. Will not recommend,1
Terrible. They ran out of sausages and told me I can pay for extra to replace it with something. Baffling.,1
"Poor service, waiter was disinterested couldn't even speak properly. Pie was microwaved and still cold in center, served without a knife.",1
"Horrible service, not even interest to serve. Can't speak properly either.

Whole restaurant had only 2 staff and one of them was a schooling kid who has no …",1
"Restaurant half empty, and still waited over 45 minutes for food.
Nonchalant service. This restaurant does not deserve to be in business.",1
there is no board that says from 530 to 630 pm there is no service. I was waiting tin the Q here for a while. So don't go there at 530 pm.,1
"Terrible, rude service. Much better places to stop for a coffee or tea in the mall. Avoid.",1
Poor services and missing orders,1
Bad experience I ever had � …,1
Terrible and slow,1
"(Translated by Google) I ordered iced coffee, and the coffee came out saying that there is no ice? They say it's ice cream, and the price goes up by two dollars. That doesn't mean it doesn't taste like coffee either. It's better to just go …",1
"(Translated by Google) Even if you want to go to a cafe, never go

(Original) …",1
"(Translated by Google) Coffee is really tasteless. When serving drinks, don't hold the top of the cup... There's no straw, so you don't know where to put your mouth... …",1
"Absolutely awful experience. The two female owners/managers walked around aggressively yelling at their staff for what seemed like completely unfair treatment. One of the managers, a female in glasses l pointed her finger so close to her …",1
The coffee is atrocious. Diluted and not worth the purchase. Don’t waste your time buying coffee here,1
"bad service with no knowledge from staffs, couldn't be bothered with your requests on understanding cedele menu",1
Be a member to get discount,1
Very bad customer service.. Staffs are so rude especially the one in the coffee counter.. she spolied our day with her attitude when we asked for sugar pockets. …,1
Very rude staff. Charged extra amount for the food and unruly behaviour.,1
Today had a very bad experience and staffs are very rude especially coffee making staff.Really very bad service.,1
Service is super horrible. Extremely rude people. They are surely spoiling brand of Cedele with their God awful and extremely  rude and unprofessional service. Go anywhere else,1
"bad service, the staff was rude too.",1
Very disappointed with this branch. Ordered some breakfast treats via Deliveroo. The cake came melted. The 2 blueberry crumble muffins are completely different - 1 is burnt as well.,1
"Very rude staff. No greetings or whatsoever. I had taken a piece of pastry and the staff (with a lot of eye makeup on if you wanna identify who), simply asked, “that’s all”? C’mon, we are paying customers, we don’t owe you anything. The …",1
"Very rude staff at the cashier.... I accidentally said paynow instead of paywave. And we apologised to the cashier multiple times. The cashier was clearly upset, black face and  gave an angry stare at us without any response.",1
"When dining in, tap water is not provided. Instead, the establishment pushes the purchase of bottled water, despite a sign inviting patrons to ”reduce plastic waste” by not using straws, also a single-use plastic product.",1
"The staff will make sure you are frustrated by their arrogance and sloppy service. Every time you order something, they will either not have some ingredient or miss something in your order or forget to tell you something right at the beginning. Dont expect to get the receipt unless you insist. Totally avoidable.",1
Always run out of main dish even at 1pm,1
I ordered the vegetarian big breakfast today and was served with staled mushrooms. I am pregnant and thankfully I didn’t swallow the food as the staled mushrooms had really a strange smell. When I asked the staff if she was aware of the …,1
"Walked in at 815pm on a Wednesday evening. Staff Emmy looked unhappy to see customers wanting to purchase items, as if we owed it to her not to disrupt her cleaning up of part of the dining area. Was not told that they had already closed …",1
"Ordered walnut cinnamon roll, but the staff never heat up the bread for u.
The service is slow, standing at the counter for 5min wanted to order food but no one to take ur order!",1
"Went to this store to collect a voucher for sourdough (purchased through Krisflyer app).  The sourdough bread was a big, hard loaf that was not yet sliced.
When my mother requested that the loaves be sliced, the cashier lady (?manager?) …",1
Stopped by for a coffee and breakfast as this was the only place open at 8.30am. …,1
"Visited >30 min before closing for dessert, and the staff said they only do takeaways lol",1
My smoked turkey sandwich was burnt on the bap. Mushroom soup was diluted.,1
I was in the queue and the server was chit chatting to the customer before me instead of serving her. I waited for a few minutes and then asked if someone else can serve me. The server said she’s the only person serving customers. She then …,1
